-180,3
-179,3
-178,3
-177,2
-176,2
-175,2
-174,2
-173,2
-172,2
-171,2
-170,1
-169,1
-168,1
-167,1
-166,1
-165,1
-164,1
-163,0
-162,0
-161,0
-160,0
-159,0
-158,0
-157,0
-156,0
-155,0
-154,-1
-153,-1
-152,-1
-151,-1
-150,-1
-149,-1
-148,-1
-147,-1
-146,-2
-145,-2
-144,-2
-143,-2
-142,-2
-141,-2
-140,-2
-139,-2
-138,-3
-137,-3
-136,-3
-135,-3
-134,-3
-133,-3
-132,-3
-131,-4
-130,-4
-129,-4
-128,-4
-127,-4
-126,-4
-125,-4
-124,-5
-123,-5
-122,-5
-121,-5
-120,-5
-119,-5
-118,-5
-117,-6
-116,-6
-115,-6
-114,-6
-113,-6
-112,-6
-111,-7
-110,-7
-109,-7
-108,-7
-107,-7
-106,-8
-105,-8
-104,-8
-103,-8
-102,-8
-101,-9
-100,-9
-99,-9
-98,-9
-97,-9
-96,-10
-95,-10
-94,-10
-93,-10
-92,-10
-91,-11
-90,-11
-89,-11
-88,-11
-87,-11
-86,-11
-85,-12
-84,-12
-83,-12
-82,-12
-81,-12
-80,-12
-79,-12
-78,-12
-77,-12
-76,-12
-75,-12
-74,-12
-73,-12
-72,-12
-71,-12
-70,-12
-69,-12
-68,-12
-67,-11
-66,-11
-65,-11
-64,-10
-63,-10
-62,-10
-61,-9
-60,-9
-59,-9
-58,-8
-57,-8
-56,-7
-55,-7
-54,-6
-53,-6
-52,-5
-51,-5
-50,-4
-49,-3
-48,-3
-47,-2
-46,-2
-45,-1
-44,0
-43,0
-42,1
-41,1
-40,2
-39,2
-38,3
-37,3
-36,4
-35,4
-34,5
-33,5
-32,6
-31,6
-30,7
-29,7
-28,7
-27,8
-26,8
-25,8
-24,8
-23,9
-22,9
-21,9
-20,9
-19,10
-18,10
-17,10
-16,10
-15,10
-14,10
-13,10
-12,10
-11,11
-10,11
-9,11
-8,11
-7,11
-6,11
-5,11
-4,11
-3,11
-2,11
-1,11
0,11
1,11
2,11
3,11
4,11
5,11
6,11
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,8
44,8
45,8
46,7
47,7
48,7
49,7
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,7
72,8
73,8
74,8
75,8
76,8
77,8
78,8
79,8
80,8
81,8
82,8
83,8
84,8
85,8
86,8
87,8
88,8
89,8
90,8
91,8
92,8
93,8
94,8
95,8
96,8
97,8
98,8
99,8
100,8
101,8
102,8
103,8
104,8
105,8
106,8
107,8
108,8
109,8
110,8
111,8
112,8
113,8
114,8
115,8
116,8
117,8
118,8
119,8
120,8
121,8
122,8
123,8
124,8
125,8
126,8
127,8
128,8
129,8
130,8
131,8
132,8
133,8
134,8
135,8
136,8
137,8
138,8
139,8
140,8
141,8
142,8
143,8
144,8
145,8
146,8
147,8
148,8
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,7
157,7
158,7
159,7
160,6
161,6
162,6
163,6
164,6
165,6
166,5
167,5
168,5
169,5
170,5
171,5
172,4
173,4
174,4
175,4
176,4
177,3
178,3
179,3
